141.8.143.135	-	-	[15/Jun/2017:0:40:14 +0000]	0.00114899873733521 ms	"GET	http://ankitgoel.in/robots.txt	HTTP/1.1"	404	35	"-"	"Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
141.8.143.135	-	-	[15/Jun/2017:0:40:17 +0000]	0.000162005424499512 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
163.172.4.153	-	-	[15/Jun/2017:0:43:41 +0000]	0.000342011451721191 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"https://ankitgoel.in/"	"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
35.185.239.191	-	-	[15/Jun/2017:1:11:36 +0000]	0.000307977199554443 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0"
139.162.113.204	-	-	[15/Jun/2017:4:26:15 +0000]	0.000352978706359863 ms	"GET	http://139.59.48.39/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
190.40.184.190	-	-	[15/Jun/2017:4:27:0 +0000]	0.000290989875793457 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
207.46.13.35	-	-	[15/Jun/2017:5:18:31 +0000]	0.00036698579788208 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
122.162.190.184	-	-	[15/Jun/2017:5:49:6 +0000]	0.000284016132354736 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
122.162.190.184	-	-	[15/Jun/2017:5:49:13 +0000]	9.99569892883301e-05 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
207.46.13.35	-	-	[15/Jun/2017:7:19:29 +0000]	0.000331997871398926 ms	"GET	http://www.ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
85.1.190.250	-	-	[15/Jun/2017:7:39:46 +0000]	0.000292003154754639 ms	"GET	http://ankitgoel.in/	HTTP/1.1"	200	1966	"-"	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
